State,Number
"(4, False, 2)",1
"(4, False, 3)",2
"(4, False, 4)",3
"(4, False, 5)",4
"(4, False, 6)",5
"(4, False, 7)",6
"(4, False, 8)",7
"(4, False, 9)",8
"(4, False, 10)",9
"(4, False, 11)",10
"(5, False, 2)",11
"(5, False, 3)",12
"(5, False, 4)",13
"(5, False, 5)",14
"(5, False, 6)",15
"(5, False, 7)",16
"(5, False, 8)",17
"(5, False, 9)",18
"(5, False, 10)",19
"(5, False, 11)",20
"(6, False, 2)",21
"(6, False, 3)",22
"(6, False, 4)",23
"(6, False, 5)",24
"(6, False, 6)",25
"(6, False, 7)",26
"(6, False, 8)",27
"(6, False, 9)",28
"(6, False, 10)",29
"(6, False, 11)",30
"(7, False, 2)",31
"(7, False, 3)",32
"(7, False, 4)",33
"(7, False, 5)",34
"(7, False, 6)",35
"(7, False, 7)",36
"(7, False, 8)",37
"(7, False, 9)",38
"(7, False, 10)",39
"(7, False, 11)",40
"(8, False, 2)",41
"(8, False, 3)",42
"(8, False, 4)",43
"(8, False, 5)",44
"(8, False, 6)",45
"(8, False, 7)",46
"(8, False, 8)",47
"(8, False, 9)",48
"(8, False, 10)",49
"(8, False, 11)",50
"(9, False, 2)",51
"(9, False, 3)",52
"(9, False, 4)",53
"(9, False, 5)",54
"(9, False, 6)",55
"(9, False, 7)",56
"(9, False, 8)",57
"(9, False, 9)",58
"(9, False, 10)",59
"(9, False, 11)",60
"(10, False, 2)",61
"(10, False, 3)",62
"(10, False, 4)",63
"(10, False, 5)",64
"(10, False, 6)",65
"(10, False, 7)",66
"(10, False, 8)",67
"(10, False, 9)",68
"(10, False, 10)",69
"(10, False, 11)",70
"(11, True, 2)",71
"(11, False, 2)",72
"(11, True, 3)",73
"(11, False, 3)",74
"(11, True, 4)",75
"(11, False, 4)",76
"(11, True, 5)",77
"(11, False, 5)",78
"(11, True, 6)",79
"(11, False, 6)",80
"(11, True, 7)",81
"(11, False, 7)",82
"(11, True, 8)",83
"(11, False, 8)",84
"(11, True, 9)",85
"(11, False, 9)",86
"(11, True, 10)",87
"(11, False, 10)",88
"(11, True, 11)",89
"(11, False, 11)",90
"(12, True, 2)",91
"(12, False, 2)",92
"(12, True, 3)",93
"(12, False, 3)",94
"(12, True, 4)",95
"(12, False, 4)",96
"(12, True, 5)",97
"(12, False, 5)",98
"(12, True, 6)",99
"(12, False, 6)",100
"(12, True, 7)",101
"(12, False, 7)",102
"(12, True, 8)",103
"(12, False, 8)",104
"(12, True, 9)",105
"(12, False, 9)",106
"(12, True, 10)",107
"(12, False, 10)",108
"(12, True, 11)",109
"(12, False, 11)",110
"(13, True, 2)",111
"(13, False, 2)",112
"(13, True, 3)",113
"(13, False, 3)",114
"(13, True, 4)",115
"(13, False, 4)",116
"(13, True, 5)",117
"(13, False, 5)",118
"(13, True, 6)",119
"(13, False, 6)",120
"(13, True, 7)",121
"(13, False, 7)",122
"(13, True, 8)",123
"(13, False, 8)",124
"(13, True, 9)",125
"(13, False, 9)",126
"(13, True, 10)",127
"(13, False, 10)",128
"(13, True, 11)",129
"(13, False, 11)",130
"(14, True, 2)",131
"(14, False, 2)",132
"(14, True, 3)",133
"(14, False, 3)",134
"(14, True, 4)",135
"(14, False, 4)",136
"(14, True, 5)",137
"(14, False, 5)",138
"(14, True, 6)",139
"(14, False, 6)",140
"(14, True, 7)",141
"(14, False, 7)",142
"(14, True, 8)",143
"(14, False, 8)",144
"(14, True, 9)",145
"(14, False, 9)",146
"(14, True, 10)",147
"(14, False, 10)",148
"(14, True, 11)",149
"(14, False, 11)",150
"(15, True, 2)",151
"(15, False, 2)",152
"(15, True, 3)",153
"(15, False, 3)",154
"(15, True, 4)",155
"(15, False, 4)",156
"(15, True, 5)",157
"(15, False, 5)",158
"(15, True, 6)",159
"(15, False, 6)",160
"(15, True, 7)",161
"(15, False, 7)",162
"(15, True, 8)",163
"(15, False, 8)",164
"(15, True, 9)",165
"(15, False, 9)",166
"(15, True, 10)",167
"(15, False, 10)",168
"(15, True, 11)",169
"(15, False, 11)",170
"(16, True, 2)",171
"(16, False, 2)",172
"(16, True, 3)",173
"(16, False, 3)",174
"(16, True, 4)",175
"(16, False, 4)",176
"(16, True, 5)",177
"(16, False, 5)",178
"(16, True, 6)",179
"(16, False, 6)",180
"(16, True, 7)",181
"(16, False, 7)",182
"(16, True, 8)",183
"(16, False, 8)",184
"(16, True, 9)",185
"(16, False, 9)",186
"(16, True, 10)",187
"(16, False, 10)",188
"(16, True, 11)",189
"(16, False, 11)",190
"(17, True, 2)",191
"(17, False, 2)",192
"(17, True, 3)",193
"(17, False, 3)",194
"(17, True, 4)",195
"(17, False, 4)",196
"(17, True, 5)",197
"(17, False, 5)",198
"(17, True, 6)",199
"(17, False, 6)",200
"(17, True, 7)",201
"(17, False, 7)",202
"(17, True, 8)",203
"(17, False, 8)",204
"(17, True, 9)",205
"(17, False, 9)",206
"(17, True, 10)",207
"(17, False, 10)",208
"(17, True, 11)",209
"(17, False, 11)",210
"(18, True, 2)",211
"(18, False, 2)",212
"(18, True, 3)",213
"(18, False, 3)",214
"(18, True, 4)",215
"(18, False, 4)",216
"(18, True, 5)",217
"(18, False, 5)",218
"(18, True, 6)",219
"(18, False, 6)",220
"(18, True, 7)",221
"(18, False, 7)",222
"(18, True, 8)",223
"(18, False, 8)",224
"(18, True, 9)",225
"(18, False, 9)",226
"(18, True, 10)",227
"(18, False, 10)",228
"(18, True, 11)",229
"(18, False, 11)",230
"(19, True, 2)",231
"(19, False, 2)",232
"(19, True, 3)",233
"(19, False, 3)",234
"(19, True, 4)",235
"(19, False, 4)",236
"(19, True, 5)",237
"(19, False, 5)",238
"(19, True, 6)",239
"(19, False, 6)",240
"(19, True, 7)",241
"(19, False, 7)",242
"(19, True, 8)",243
"(19, False, 8)",244
"(19, True, 9)",245
"(19, False, 9)",246
"(19, True, 10)",247
"(19, False, 10)",248
"(19, True, 11)",249
"(19, False, 11)",250
"(20, True, 2)",251
"(20, False, 2)",252
"(20, True, 3)",253
"(20, False, 3)",254
"(20, True, 4)",255
"(20, False, 4)",256
"(20, True, 5)",257
"(20, False, 5)",258
"(20, True, 6)",259
"(20, False, 6)",260
"(20, True, 7)",261
"(20, False, 7)",262
"(20, True, 8)",263
"(20, False, 8)",264
"(20, True, 9)",265
"(20, False, 9)",266
"(20, True, 10)",267
"(20, False, 10)",268
"(20, True, 11)",269
"(20, False, 11)",270
"(21, True, 2)",271
"(21, False, 2)",272
"(21, True, 3)",273
"(21, False, 3)",274
"(21, True, 4)",275
"(21, False, 4)",276
"(21, True, 5)",277
"(21, False, 5)",278
"(21, True, 6)",279
"(21, False, 6)",280
"(21, True, 7)",281
"(21, False, 7)",282
"(21, True, 8)",283
"(21, False, 8)",284
"(21, True, 9)",285
"(21, False, 9)",286
"(21, True, 10)",287
"(21, False, 10)",288
"(21, True, 11)",289
"(21, False, 11)",290
